Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/28/09,HOU,L 107-108,36,7,12,0,1,0,0,2,7,0,4,2,2,14,REGULAR SEASON STATS,L,107,108
10/30/09,PHX,L 101-123,39,5,9,2,3,0,0,2,4,0,1,5,3,12,REGULAR SEASON STATS,L,101,123
11/4/09,MEM,W 113-105,28,3,6,1,2,0,0,5,9,0,2,4,1,7,REGULAR SEASON STATS,W,113,105
11/6/09,LAC,L 90-118,22,1,5,0,1,3,4,1,3,0,0,6,0,5,REGULAR SEASON STATS,L,90,118
11/8/09,SAC,L 107-120,31,4,8,1,2,0,2,4,6,0,0,4,5,9,REGULAR SEASON STATS,L,107,120
11/9/09,MIN,W 146-105,30,2,8,1,2,3,4,2,5,0,1,1,2,8,REGULAR SEASON STATS,W,146,105
11/11/09,IND,L 94-108,21,3,7,0,2,0,0,1,4,0,1,2,3,6,REGULAR SEASON STATS,L,94,108
11/13/09,NY,W 121-107,3,0,0,0,0,0,0,0,0,1,0,1,0,0,REGULAR SEASON STATS,W,121,107
11/14/09,MIL,L 125-129,26,6,9,2,2,0,0,4,2,1,2,5,1,14,REGULAR SEASON STATS,L,125,129
11/17/09,CLE,L 108-114,41,6,10,2,6,0,1,5,7,0,0,2,3,14,REGULAR SEASON STATS,L,108,114
11/18/09,BOS,L 95-109,35,4,10,1,4,4,4,0,7,0,4,3,6,13,REGULAR SEASON STATS,L,95,109
11/20/09,POR,W 108-94,46,3,9,2,3,4,5,6,8,1,1,6,1,12,REGULAR SEASON STATS,W,108,94
11/24/09,DAL,W 111-103,35,6,12,2,4,4,4,4,6,0,3,5,4,18,REGULAR SEASON STATS,W,111,103
11/25/09,SA,L 104-118,34,5,16,1,4,0,0,7,5,2,1,3,6,11,REGULAR SEASON STATS,L,104,118
11/28/09,LAL,L 97-130,36,5,15,1,5,2,2,4,8,0,0,0,1,13,REGULAR SEASON STATS,L,97,130
11/30/09,IND,W 126-107,20,2,5,1,2,2,2,2,4,0,3,2,2,7,REGULAR SEASON STATS,W,126,107
12/1/09,DEN,L 107-135,41,4,14,2,6,0,0,4,6,2,2,2,1,10,REGULAR SEASON STATS,L,107,135
12/3/09,HOU,L 109-111,32,4,8,1,3,2,2,5,2,1,2,3,4,11,REGULAR SEASON STATS,L,109,111
12/5/09,ORL,L 118-126,46,6,12,0,2,1,1,3,3,0,1,4,3,13,REGULAR SEASON STATS,L,118,126
12/7/09,OKC,L 88-104,36,9,14,2,4,2,2,4,2,0,4,5,5,22,REGULAR SEASON STATS,L,88,104
12/9/09,NJ,W 105-89,30,6,13,1,4,1,2,4,4,0,3,4,4,14,REGULAR SEASON STATS,W,105,89
12/11/09,CHI,L 91-96,27,3,9,0,3,0,0,3,1,0,1,0,0,6,REGULAR SEASON STATS,L,91,96
12/12/09,DET,L 95-104,38,5,10,3,4,6,6,2,4,1,4,4,4,19,REGULAR SEASON STATS,L,95,104
12/14/09,PHI,L 101-117,36,5,13,1,4,3,4,4,4,1,4,5,4,14,REGULAR SEASON STATS,L,101,117
12/16/09,SA,L 91-103,25,4,11,0,2,0,0,4,3,0,4,5,1,8,REGULAR SEASON STATS,L,91,103
12/18/09,WSH,L 109-118,46,9,17,5,9,4,4,8,4,0,3,4,2,27,REGULAR SEASON STATS,L,109,118
12/22/09,MEM,L 108-121,41,6,15,2,6,0,0,7,8,0,0,2,4,14,REGULAR SEASON STATS,L,108,121
